2021-02-10 10:41:21,981 - INFO - Starting the Bridge to Live PVs
Processing PV (SOLN:IN20:121:BACT | Model (<PV 'test:SOL1:solenoid_field_scale', count=1, type=time_double, access=read/write>) -> value: 0.4612774767789642 | compensation: 0 | factor: 0.51427242 | impact: 0.2372222842746117
Processing PV (ACCL:IN20:300:L0A_PDES | Model (<PV 'test:L0A_phase:dtheta0_deg', count=1, type=time_double, access=read/write>) -> value: 0.0 | compensation: 0 | factor: 1.0 | impact: 0.0
Processing PV (QUAD:IN20:121:BACT | Model (<PV 'test:CQ01:b1_gradient', count=1, type=time_double, access=read/write>) -> value: 0.0032002884182063987 | compensation: 0 | factor: -0.47619047600000003 | impact: -0.0015239468652029921
Processing PV (QUAD:IN20:122:BACT | Model (<PV 'test:SQ01:b1_gradient', count=1, type=time_double, access=read/write>) -> value: -0.004151502760781973 | compensation: 0 | factor: -0.47619047600000003 | impact: 0.001976906075772082
Processing PV (QUAD:IN20:121:BACT | Model (<PV 'test:CQ01:b1_gradient', count=1, type=time_double, access=read/write>) -> value: 0.0032000135196034248 | compensation: 0 | factor: -0.47619047600000003 | impact: -0.0015238159611063902
Processing PV (QUAD:IN20:122:BACT | Model (<PV 'test:SQ01:b1_gradient', count=1, type=time_double, access=read/write>) -> value: -0.0041512281748992685 | compensation: 0 | factor: -0.47619047600000003 | impact: 0.001976775320589894
Processing PV (SOLN:IN20:121:BACT | Model (<PV 'test:SOL1:solenoid_field_scale', count=1, type=time_double, access=read/write>) -> value: 0.46127769922907036 | compensation: 0 | factor: 0.51427242 | impact: 0.23722239867456613
Processing PV (QUAD:IN20:121:BACT | Model (<PV 'test:CQ01:b1_gradient', count=1, type=time_double, access=read/write>) -> value: 0.0032002884182063987 | compensation: 0 | factor: -0.47619047600000003 | impact: -0.0015239468652029921
Processing PV (SOLN:IN20:121:BACT | Model (<PV 'test:SOL1:solenoid_field_scale', count=1, type=time_double, access=read/write>) -> value: 0.46127787440794427 | compensation: 0 | factor: 0.51427242 | impact: 0.23722248876422955
Processing PV (QUAD:IN20:121:BACT | Model (<PV 'test:CQ01:b1_gradient', count=1, type=time_double, access=read/write>) -> value: 0.00319973862100045 | compensation: 0 | factor: -0.47619047600000003 | impact: -0.001523685057009788
Processing PV (SOLN:IN20:121:BACT | Model (<PV 'test:SOL1:solenoid_field_scale', count=1, type=time_double, access=read/write>) -> value: 0.46127755695644035 | compensation: 0 | factor: 0.51427242 | impact: 0.23722232550767638
Processing PV (SOLN:IN20:121:BACT | Model (<PV 'test:SOL1:solenoid_field_scale', count=1, type=time_double, access=read/write>) -> value: 0.4612775687742299 | compensation: 0 | factor: 0.51427242 | impact: 0.23722233158523962
Processing PV (QUAD:IN20:121:BACT | Model (<PV 'test:CQ01:b1_gradient', count=1, type=time_double, access=read/write>) -> value: 0.0032000135196034248 | compensation: 0 | factor: -0.47619047600000003 | impact: -0.0015238159611063902
Processing PV (SOLN:IN20:121:BACT | Model (<PV 'test:SOL1:solenoid_field_scale', count=1, type=time_double, access=read/write>) -> value: 0.4612771056883038 | compensation: 0 | factor: 0.51427242 | impact: 0.23722209343291975
Processing PV (QUAD:IN20:121:BACT | Model (<PV 'test:CQ01:b1_gradient', count=1, type=time_double, access=read/write>) -> value: 0.003199463722397476 | compensation: 0 | factor: -0.47619047600000003 | impact: -0.0015235541529131861
